id;line_1;line_2;country;state;city;pincode
1;centralise correctly;ordain devoted;Bolivia;legal small excluding;Greensboro;32553
2;gasp over;although imperturbable verbally;Burkina Faso;beyond frightfully;Mayaguez;1408
3;ah in;willing whoa;Vanuatu;zowie;Iowa City;29586
4;knowingly accredit;nor consequently;Guadeloupe;lender;West Des Moines;11540
5;posh yahoo barring;fooey;Estonia;majestically;Fremont;24953
6;innocently;remark truly sticky;Antarctica;out for amidst;Joeyborough;4260
7;inasmuch broadcast stealthily;celebrated;Cape Verde;which sheepishly;Fort Fatimaville;24043
8;duh;dynamics bumpy;Chad;a;North Violafield;25537
9;rope;yellow inside;Mexico;huzzah contagion geez;Findlay;11786
10;adventurous before aw;incidentally;Virgin Islands, British;formal;Ernserborough;30054
